tenure,monthly_charges,total_charges,contract_type,payment_method,internet_service,support_calls,churn
11,30.61,37.98,One year,Bank transfer,DSL,2,0
60,53.46,3017.9,Month-to-month,Bank transfer,DSL,1,0
45,41.06,1998.91,One year,Credit card,DSL,3,0
51,45.87,2330.19,Month-to-month,Electronic check,DSL,1,0
7,71.34,441.92,One year,Electronic check,Fiber optic,1,1
22,18.0,261.23,One year,Credit card,DSL,4,0
56,85.36,4740.26,Month-to-month,Credit card,Fiber optic,1,0
60,88.85,5384.98,Month-to-month,Bank transfer,Fiber optic,1,0
31,63.72,2152.32,Two year,Mailed check,Fiber optic,0,0
58,18.0,571.47,Month-to-month,Mailed check,Fiber optic,0,0
61,45.09,2600.74,One year,Bank transfer,DSL,1,0
28,100.82,2851.67,Two year,Bank transfer,DSL,2,1
65,18.0,1152.2,Two year,Mailed check,Fiber optic,2,0
21,61.31,1360.16,Month-to-month,Electronic check,Fiber optic,1,0
17,40.5,736.66,One year,Electronic check,Fiber optic,0,0
49,90.11,4360.72,Two year,Mailed check,Fiber optic,1,0
46,53.12,2348.79,One year,Bank transfer,Fiber optic,1,0
10,80.1,756.8,Month-to-month,Mailed check,Fiber optic,3,1
60,84.14,5254.96,Month-to-month,Bank transfer,Fiber optic,0,0
14,115.91,1490.92,One year,Mailed check,Fiber optic,2,0
58,64.93,3754.43,Month-to-month,Mailed check,DSL,0,0
0,79.4,33.0,Month-to-month,Bank transfer,DSL,3,1
58,32.87,2187.53,Month-to-month,Bank transfer,Fiber optic,0,0
57,99.76,5632.28,One year,Credit card,Fiber optic,0,1
56,50.99,3027.87,Month-to-month,Credit card,Fiber optic,2,0
48,55.98,2908.85,Two year,Mailed check,DSL,1,0
34,69.44,2349.61,One year,Bank transfer,DSL,0,0
51,30.93,1539.39,Two year,Mailed check,Fiber optic,1,0
20,75.72,1455.16,Two year,Credit card,DSL,0,0
56,94.19,5228.4,Month-to-month,Bank transfer,Fiber optic,2,0
40,77.32,3246.7,One year,Credit card,DSL,1,1
33,30.28,1040.74,Month-to-month,Mailed check,DSL,1,0
36,66.9,2450.92,Two year,Electronic check,Fiber optic,0,0
41,88.55,3428.04,Month-to-month,Electronic check,DSL,1,1
2,23.05,0.0,One year,Bank transfer,DSL,3,0
10,43.13,817.13,Two year,Credit card,DSL,0,1
17,91.91,1530.52,Month-to-month,Bank transfer,DSL,3,0
8,76.75,474.56,Two year,Credit card,DSL,1,1
32,80.3,2827.18,Month-to-month,Mailed check,Fiber optic,2,0
48,116.49,5642.12,Month-to-month,Credit card,DSL,2,0
47,81.71,3944.62,Month-to-month,Credit card,Fiber optic,0,1
34,86.45,2914.36,Month-to-month,Electronic check,DSL,3,0
62,130.0,8002.64,One year,Credit card,No,3,0
41,64.65,2620.32,Two year,Electronic check,Fiber optic,0,0
5,50.05,1.37,Month-to-month,Bank transfer,No,1,0
55,80.69,4422.39,One year,Mailed check,No,2,0
41,80.97,3373.25,Two year,Mailed check,DSL,3,0
46,56.83,2947.36,One year,Credit card,Fiber optic,3,0
41,44.19,1827.27,Month-to-month,Bank transfer,DSL,0,0
40,127.75,4689.69,Two year,Electronic check,No,1,0
6,78.17,452.11,Month-to-month,Electronic check,Fiber optic,1,0
40,51.69,2560.83,One year,Electronic check,Fiber optic,0,0
58,92.9,5544.04,One year,Mailed check,No,2,0
22,67.27,1334.01,One year,Electronic check,Fiber optic,3,1
44,63.68,2908.23,Month-to-month,Mailed check,No,1,1
2,84.06,34.55,Month-to-month,Credit card,DSL,2,0
25,37.7,698.89,One year,Credit card,DSL,2,0
31,78.82,2380.58,Month-to-month,Credit card,DSL,1,1
71,117.82,8381.97,Month-to-month,Mailed check,Fiber optic,1,0
15,81.65,887.83,One year,Bank transfer,Fiber optic,1,0
20,60.59,1005.05,One year,Credit card,DSL,1,0
29,57.32,1664.21,Month-to-month,Electronic check,Fiber optic,0,1
72,59.74,4227.92,Month-to-month,Credit card,DSL,2,0
62,63.65,4017.42,Two year,Bank transfer,Fiber optic,1,0
2,60.55,0.0,Month-to-month,Mailed check,No,2,1
17,92.91,1707.97,Month-to-month,Mailed check,Fiber optic,3,1
59,26.67,1360.44,Month-to-month,Mailed check,DSL,2,0
4,91.55,661.89,Month-to-month,Electronic check,DSL,0,1
62,60.51,3442.65,Two year,Electronic check,DSL,1,0
20,79.42,1391.81,Month-to-month,Mailed check,Fiber optic,3,0
66,41.83,2835.6,Month-to-month,Electronic check,Fiber optic,0,0
21,103.22,2467.09,Month-to-month,Bank transfer,DSL,2,0
31,101.14,3192.07,Month-to-month,Mailed check,No,1,1
48,93.99,4612.82,Month-to-month,Mailed check,Fiber optic,0,0
9,32.13,292.34,Two year,Electronic check,No,2,1
40,90.73,3444.37,One year,Credit card,Fiber optic,2,0
36,80.12,2796.14,Month-to-month,Bank transfer,No,1,0
57,29.87,1484.34,Month-to-month,Mailed check,DSL,1,0
72,69.39,4766.1,Month-to-month,Bank transfer,DSL,1,0
48,79.11,3869.76,Month-to-month,Mailed check,No,3,0
29,83.9,2230.98,One year,Electronic check,No,2,0
29,74.43,2216.03,Month-to-month,Bank transfer,Fiber optic,3,0
30,77.28,2084.1,One year,Credit card,DSL,2,0
59,106.84,6356.93,Two year,Bank transfer,DSL,2,0
23,100.65,2227.01,Month-to-month,Bank transfer,Fiber optic,2,0
12,18.0,469.19,Two year,Electronic check,No,0,0
24,62.06,1547.81,Month-to-month,Bank transfer,DSL,0,0
1,65.88,288.32,Month-to-month,Bank transfer,DSL,2,0
7,26.2,47.37,Two year,Mailed check,Fiber optic,0,1
6,72.35,444.23,Month-to-month,Electronic check,Fiber optic,2,0
56,101.22,5491.67,Month-to-month,Credit card,Fiber optic,0,1
52,42.84,2153.01,One year,Mailed check,Fiber optic,0,0
50,78.41,3873.32,Month-to-month,Mailed check,No,0,0
33,47.1,1423.79,Two year,Bank transfer,DSL,1,0
52,53.2,2547.72,Month-to-month,Mailed check,Fiber optic,0,0
11,106.93,921.85,Two year,Bank transfer,Fiber optic,1,1
65,56.44,3247.19,Month-to-month,Bank transfer,Fiber optic,1,0
36,81.56,2745.85,Month-to-month,Mailed check,No,0,0
68,23.22,1691.88,Month-to-month,Electronic check,Fiber optic,0,0
11,116.56,994.41,Two year,Electronic check,Fiber optic,3,0
36,85.07,2816.13,Month-to-month,Credit card,DSL,3,0
50,65.44,3594.24,Two year,Bank transfer,Fiber optic,4,0
36,84.39,2923.42,Month-to-month,Mailed check,DSL,1,0
32,34.75,1169.93,Month-to-month,Mailed check,DSL,0,0
12,99.56,1310.38,Month-to-month,Bank transfer,Fiber optic,1,0
27,61.9,1790.56,Month-to-month,Credit card,Fiber optic,1,1
17,64.9,829.25,Two year,Credit card,No,0,0
22,57.71,1228.0,Month-to-month,Bank transfer,Fiber optic,0,0
49,55.48,2427.42,One year,Mailed check,No,1,0
46,87.37,4459.21,One year,Credit card,DSL,1,0
44,76.4,3074.42,Month-to-month,Credit card,Fiber optic,3,0
26,86.29,2055.03,One year,Mailed check,No,0,0
70,69.78,4697.3,Two year,Credit card,Fiber optic,2,0
6,82.83,227.58,One year,Credit card,Fiber optic,2,0
25,59.53,1731.69,Month-to-month,Credit card,Fiber optic,1,0
8,125.74,1441.99,One year,Electronic check,DSL,0,0
24,30.8,653.61,One year,Electronic check,Fiber optic,3,0
70,101.52,6868.96,Month-to-month,Mailed check,DSL,2,0
26,104.2,2306.49,One year,Credit card,DSL,1,0
66,48.7,3170.0,Month-to-month,Electronic check,DSL,2,0
36,125.73,4469.4,One year,Electronic check,DSL,0,0
51,94.89,4722.02,Two year,Electronic check,Fiber optic,3,0
33,94.28,3151.04,Two year,Electronic check,No,2,0
19,70.7,1414.44,Two year,Credit card,Fiber optic,1,0
55,64.57,3609.47,One year,Bank transfer,No,0,0
70,64.76,4476.63,One year,Bank transfer,Fiber optic,2,0
19,79.76,1317.21,Month-to-month,Mailed check,DSL,0,0
56,105.03,6001.51,Month-to-month,Bank transfer,DSL,2,0
19,74.53,1418.38,Month-to-month,Credit card,No,2,0
52,47.21,2615.03,Month-to-month,Bank transfer,Fiber optic,1,0
57,90.61,5307.02,Two year,Credit card,No,1,0
32,93.03,2721.0,Two year,Bank transfer,DSL,0,0
53,86.37,4319.26,Month-to-month,Mailed check,Fiber optic,0,0
19,88.64,1548.11,Month-to-month,Bank transfer,Fiber optic,0,0
5,63.23,126.01,One year,Credit card,No,3,1
7,46.78,463.37,Month-to-month,Credit card,DSL,1,0
32,48.3,1608.68,Two year,Mailed check,No,1,0
65,29.11,2090.23,Two year,Bank transfer,Fiber optic,2,0
9,75.92,754.68,Month-to-month,Credit card,Fiber optic,2,0
33,67.91,2278.71,Month-to-month,Bank transfer,Fiber optic,0,1
51,59.0,3224.97,Month-to-month,Bank transfer,Fiber optic,2,1
14,18.0,336.55,Month-to-month,Mailed check,DSL,1,0
52,38.82,2030.75,Month-to-month,Credit card,Fiber optic,1,0
22,98.02,2422.94,Month-to-month,Credit card,DSL,0,0
59,53.38,3170.41,Month-to-month,Electronic check,Fiber optic,1,0
42,79.01,3263.84,Month-to-month,Electronic check,Fiber optic,1,1
39,35.23,1223.27,Month-to-month,Electronic check,Fiber optic,0,0
12,105.97,1398.16,One year,Mailed check,Fiber optic,2,1
33,66.4,2413.85,Month-to-month,Electronic check,Fiber optic,1,0
62,77.25,4780.46,Two year,Credit card,Fiber optic,1,0
1,128.14,363.57,Month-to-month,Credit card,Fiber optic,2,1
55,107.91,5580.5,Month-to-month,Electronic check,Fiber optic,3,0
35,62.34,2171.77,Month-to-month,Credit card,Fiber optic,2,0
52,55.17,2861.6,One year,Electronic check,Fiber optic,0,0
48,61.86,2838.49,Month-to-month,Credit card,Fiber optic,0,1
31,82.75,2994.27,Month-to-month,Mailed check,DSL,1,0
22,67.37,1470.21,Month-to-month,Electronic check,Fiber optic,1,1
45,60.12,2631.96,Two year,Mailed check,DSL,0,0
10,106.68,1071.47,Month-to-month,Credit card,DSL,1,0
42,67.14,2459.57,Month-to-month,Credit card,Fiber optic,0,0
6,127.49,628.16,Two year,Electronic check,Fiber optic,1,1
47,72.27,3573.61,Month-to-month,Credit card,Fiber optic,2,0
45,114.63,5045.27,Month-to-month,Mailed check,No,0,1
6,78.93,324.4,Two year,Mailed check,DSL,1,0
55,94.07,5409.79,Month-to-month,Electronic check,DSL,0,1
30,51.88,1797.79,Month-to-month,Credit card,DSL,3,0
57,48.66,2866.45,Month-to-month,Credit card,DSL,0,0
3,81.49,162.56,Month-to-month,Bank transfer,Fiber optic,1,1
13,94.71,1188.18,Two year,Bank transfer,Fiber optic,0,1
36,71.01,2411.48,One year,Credit card,Fiber optic,0,0
13,37.84,312.86,One year,Electronic check,DSL,0,0
24,35.99,675.85,Month-to-month,Electronic check,Fiber optic,1,0
48,34.32,1536.19,One year,Electronic check,DSL,1,0
10,25.81,71.84,One year,Mailed check,Fiber optic,1,0
49,72.74,3282.65,Month-to-month,Mailed check,Fiber optic,3,0
7,98.13,726.38,Two year,Electronic check,DSL,2,1
12,69.66,878.2,One year,Bank transfer,Fiber optic,1,1
42,18.0,1062.14,One year,Electronic check,Fiber optic,1,0
57,65.23,3597.87,Month-to-month,Credit card,DSL,2,0
12,65.93,844.46,Month-to-month,Bank transfer,Fiber optic,2,1
21,122.4,2626.69,One year,Credit card,Fiber optic,1,0
67,33.57,2203.6,One year,Electronic check,DSL,1,1
72,60.23,4470.76,Month-to-month,Credit card,DSL,3,0
42,112.65,4870.69,Month-to-month,Bank transfer,Fiber optic,2,0
32,81.25,2658.92,Two year,Credit card,No,0,0
25,84.08,2056.06,Month-to-month,Bank transfer,Fiber optic,1,0
44,72.86,3141.69,Month-to-month,Bank transfer,Fiber optic,2,0
43,78.25,3118.49,One year,Electronic check,Fiber optic,2,1
21,89.44,1733.18,Month-to-month,Bank transfer,Fiber optic,3,1
1,49.76,0.0,Month-to-month,Mailed check,DSL,0,0
11,91.95,809.15,Month-to-month,Credit card,Fiber optic,1,1
69,35.67,2540.76,Two year,Bank transfer,No,0,0
30,78.21,2561.67,Month-to-month,Electronic check,Fiber optic,0,1
35,74.47,2442.95,One year,Credit card,No,2,0
34,54.59,1907.17,Two year,Electronic check,DSL,3,1
57,69.43,3771.53,One year,Mailed check,Fiber optic,1,0
4,54.44,162.86,Month-to-month,Electronic check,Fiber optic,1,1
6,43.21,134.99,Month-to-month,Credit card,DSL,1,1
20,61.16,1331.53,Month-to-month,Electronic check,DSL,1,0
35,42.4,1361.83,One year,Credit card,Fiber optic,2,0
48,78.07,3929.46,Two year,Electronic check,Fiber optic,2,0
35,41.25,1399.45,One year,Bank transfer,Fiber optic,0,0
32,87.8,2692.65,Month-to-month,Electronic check,DSL,1,0
68,40.46,2525.89,Month-to-month,Mailed check,Fiber optic,2,0
11,55.84,659.85,Two year,Bank transfer,DSL,2,0
41,54.38,2390.92,Month-to-month,Bank transfer,DSL,2,0
39,103.13,4071.22,Two year,Credit card,Fiber optic,4,0
34,78.26,3063.74,Month-to-month,Credit card,DSL,1,1
58,64.71,4010.35,One year,Bank transfer,No,0,0
19,82.47,1511.54,Two year,Mailed check,Fiber optic,1,0
69,18.0,1184.76,Month-to-month,Mailed check,DSL,6,0
24,68.92,1738.67,Month-to-month,Credit card,DSL,2,0
39,119.94,4526.73,Two year,Bank transfer,Fiber optic,0,0
38,73.31,2995.66,Month-to-month,Credit card,DSL,1,0
62,71.7,4510.35,Month-to-month,Mailed check,DSL,0,0
32,83.7,2724.67,Month-to-month,Mailed check,Fiber optic,2,0
20,92.39,1971.45,Month-to-month,Credit card,DSL,4,1
1,20.06,330.17,One year,Bank transfer,Fiber optic,1,0
26,27.94,757.26,Month-to-month,Electronic check,Fiber optic,0,0
60,75.26,4495.09,Month-to-month,Bank transfer,DSL,1,0
0,52.13,271.57,Two year,Electronic check,Fiber optic,1,0
65,102.8,6856.2,Month-to-month,Credit card,Fiber optic,1,0
39,62.12,2364.93,Month-to-month,Electronic check,Fiber optic,1,0
10,21.64,217.3,One year,Credit card,DSL,2,0
22,38.3,877.76,Two year,Credit card,Fiber optic,0,0
40,18.0,785.13,One year,Electronic check,DSL,0,0
23,64.15,1231.19,Two year,Bank transfer,Fiber optic,5,1
7,65.29,179.39,Month-to-month,Electronic check,DSL,0,0
48,59.39,2690.91,Month-to-month,Mailed check,No,1,0
49,96.97,4577.97,Two year,Mailed check,DSL,1,0
8,99.96,683.82,Two year,Bank transfer,No,1,0
20,65.74,1429.05,Month-to-month,Credit card,No,1,0
17,18.0,275.59,Month-to-month,Mailed check,Fiber optic,2,0
48,85.43,4136.09,Month-to-month,Mailed check,DSL,0,0
53,83.88,4225.48,Month-to-month,Electronic check,Fiber optic,0,0
53,77.73,4036.85,Two year,Credit card,No,0,0
68,94.54,6534.22,Two year,Mailed check,Fiber optic,0,0
56,40.88,2396.33,Month-to-month,Mailed check,Fiber optic,0,0
23,120.22,2634.61,Month-to-month,Electronic check,DSL,4,1
7,46.01,351.2,Month-to-month,Mailed check,No,5,0
44,88.73,4299.94,Month-to-month,Bank transfer,DSL,0,0
66,27.82,1832.71,One year,Credit card,DSL,0,0
71,46.74,3194.01,Month-to-month,Mailed check,DSL,1,0
16,107.91,1695.27,Month-to-month,Bank transfer,Fiber optic,0,1
17,63.48,1095.71,One year,Credit card,No,0,1
2,91.0,154.79,Two year,Mailed check,Fiber optic,2,1
10,75.92,753.6,Month-to-month,Mailed check,DSL,0,0
40,67.38,2435.22,Month-to-month,Electronic check,Fiber optic,1,1
39,104.1,3886.48,Month-to-month,Credit card,Fiber optic,2,1
27,64.08,1703.37,Month-to-month,Electronic check,Fiber optic,1,0
22,25.48,530.85,Month-to-month,Electronic check,DSL,3,0
60,49.92,2893.23,One year,Electronic check,Fiber optic,3,0
33,83.78,2732.87,Month-to-month,Bank transfer,Fiber optic,1,0
59,79.89,4724.36,Month-to-month,Mailed check,No,0,0
70,30.82,2317.74,Two year,Bank transfer,Fiber optic,2,0
23,51.89,1175.64,Month-to-month,Bank transfer,DSL,5,0
14,55.46,848.24,One year,Electronic check,Fiber optic,0,0
69,60.86,4102.08,One year,Mailed check,DSL,0,0
46,35.6,1740.68,Two year,Electronic check,No,1,0
21,54.29,1207.74,One year,Electronic check,Fiber optic,1,0
45,51.78,2486.16,Two year,Mailed check,DSL,0,0
37,89.29,3432.09,One year,Mailed check,Fiber optic,0,0
66,90.23,6061.02,Month-to-month,Electronic check,DSL,1,0
18,66.35,1176.67,Month-to-month,Mailed check,DSL,1,0
72,60.2,4378.42,Month-to-month,Mailed check,Fiber optic,1,0
68,73.5,5189.3,Month-to-month,Credit card,Fiber optic,1,0
13,49.59,527.24,Month-to-month,Bank transfer,Fiber optic,0,1
12,41.33,382.84,Month-to-month,Mailed check,Fiber optic,1,0
38,46.49,1799.45,Month-to-month,Mailed check,DSL,1,0
3,54.13,237.14,Month-to-month,Electronic check,Fiber optic,0,0
21,40.91,710.84,Month-to-month,Mailed check,Fiber optic,2,0
31,74.05,2282.14,One year,Bank transfer,DSL,0,0
70,88.24,6160.08,One year,Electronic check,No,1,0
72,30.32,1784.47,Two year,Credit card,No,3,0
11,70.63,737.38,Month-to-month,Bank transfer,DSL,2,1
65,64.5,4164.29,Two year,Credit card,Fiber optic,0,0
6,78.54,442.37,One year,Mailed check,Fiber optic,3,1
54,69.68,4017.4,Month-to-month,Credit card,DSL,3,0
61,33.66,1834.42,Two year,Mailed check,Fiber optic,1,0
65,38.44,2350.19,Month-to-month,Credit card,DSL,0,0
16,70.74,661.57,One year,Bank transfer,DSL,1,0
65,95.72,6135.2,One year,Bank transfer,No,2,0
8,18.0,72.78,Month-to-month,Electronic check,Fiber optic,2,0
37,78.64,2818.0,One year,Credit card,DSL,1,0
34,99.74,3590.56,Month-to-month,Electronic check,Fiber optic,2,1
23,66.17,1676.92,Month-to-month,Electronic check,No,1,0
1,83.76,97.77,Month-to-month,Mailed check,Fiber optic,1,1
56,52.42,2868.99,Month-to-month,Credit card,No,2,0
24,67.02,1793.09,Month-to-month,Credit card,No,0,0
48,29.48,1411.35,One year,Credit card,DSL,2,0
29,18.0,374.71,Month-to-month,Bank transfer,Fiber optic,1,0
27,93.57,2217.44,Month-to-month,Credit card,Fiber optic,0,0
64,45.38,2824.57,One year,Mailed check,Fiber optic,1,0
6,58.61,487.51,Month-to-month,Mailed check,Fiber optic,0,0
53,35.34,2282.74,Month-to-month,Electronic check,DSL,2,0
54,34.75,1887.63,One year,Credit card,DSL,0,0
27,65.65,1634.9,Two year,Mailed check,Fiber optic,2,0
19,51.76,770.16,Month-to-month,Electronic check,Fiber optic,3,0
0,79.45,99.35,Month-to-month,Mailed check,Fiber optic,0,0
68,81.31,5211.68,One year,Bank transfer,Fiber optic,1,0
69,78.02,5482.53,Two year,Mailed check,DSL,2,0
17,75.97,1438.59,Month-to-month,Mailed check,DSL,0,0
2,109.44,297.42,Month-to-month,Mailed check,Fiber optic,2,1
8,43.31,306.94,Month-to-month,Bank transfer,Fiber optic,3,1
4,68.63,376.2,One year,Bank transfer,Fiber optic,1,0
60,98.32,5929.8,Two year,Bank transfer,DSL,1,1
65,101.61,6464.81,One year,Electronic check,Fiber optic,2,0
11,34.46,712.09,Month-to-month,Mailed check,No,1,0
54,62.19,3295.02,One year,Bank transfer,DSL,0,0
13,103.95,1491.02,Two year,Electronic check,DSL,1,1
26,82.7,1714.9,Month-to-month,Electronic check,Fiber optic,1,1
43,74.88,3449.67,Two year,Mailed check,Fiber optic,2,0
52,64.56,3621.39,Month-to-month,Bank transfer,No,2,0
63,60.4,3810.88,Month-to-month,Bank transfer,No,2,1
3,77.21,332.2,One year,Electronic check,Fiber optic,1,1
14,63.69,992.2,Month-to-month,Bank transfer,DSL,3,1
20,68.94,1263.01,Two year,Electronic check,Fiber optic,1,0
22,71.96,1681.71,Month-to-month,Bank transfer,No,1,0
72,53.05,3673.92,Month-to-month,Bank transfer,Fiber optic,3,0
56,83.3,4555.4,Month-to-month,Electronic check,No,0,0
23,130.0,3192.85,Month-to-month,Mailed check,Fiber optic,2,1
70,25.58,1965.71,Month-to-month,Credit card,DSL,2,0
36,78.1,2684.46,One year,Mailed check,Fiber optic,1,0
36,51.0,1703.79,Month-to-month,Bank transfer,Fiber optic,1,0
31,84.44,2501.28,Month-to-month,Bank transfer,DSL,1,0
10,71.16,843.51,One year,Electronic check,DSL,2,0
68,89.05,5875.16,Month-to-month,Credit card,Fiber optic,1,0
1,99.39,163.6,One year,Mailed check,DSL,0,0
12,74.81,1032.16,Month-to-month,Credit card,DSL,1,0
16,98.3,1556.94,Month-to-month,Mailed check,Fiber optic,2,0
20,18.0,541.81,One year,Bank transfer,Fiber optic,4,0
9,109.76,933.08,One year,Mailed check,Fiber optic,0,0
1,79.38,40.88,Two year,Credit card,No,2,1
49,96.95,4574.45,Month-to-month,Electronic check,No,2,0
70,39.5,2948.31,Month-to-month,Credit card,Fiber optic,2,0
8,49.23,255.87,One year,Electronic check,DSL,0,0
21,73.65,1609.58,One year,Credit card,Fiber optic,4,0
36,69.57,2491.83,One year,Electronic check,DSL,2,0
67,77.08,4974.64,Month-to-month,Electronic check,No,1,0
50,97.11,4746.01,One year,Electronic check,Fiber optic,2,0
55,25.87,1671.74,Month-to-month,Bank transfer,Fiber optic,3,0
42,94.35,3998.81,Month-to-month,Mailed check,Fiber optic,1,0
30,70.21,1924.56,Month-to-month,Bank transfer,Fiber optic,2,0
14,64.91,963.64,Month-to-month,Credit card,No,2,0
63,33.22,2066.69,One year,Electronic check,DSL,2,0
58,82.58,5411.15,Month-to-month,Bank transfer,No,1,0
1,18.0,69.32,Month-to-month,Bank transfer,DSL,1,0
52,86.21,4414.4,Two year,Mailed check,Fiber optic,0,0
6,32.7,451.79,One year,Credit card,No,1,0
53,71.34,3449.45,Month-to-month,Bank transfer,Fiber optic,2,0
60,67.02,4038.22,Two year,Electronic check,DSL,3,0
9,99.24,1252.14,Month-to-month,Bank transfer,Fiber optic,1,1
31,65.53,2010.63,One year,Mailed check,No,0,0
9,52.65,161.82,Month-to-month,Electronic check,DSL,1,0
41,57.33,2279.47,Month-to-month,Credit card,Fiber optic,2,0
67,101.82,7083.89,Month-to-month,Electronic check,Fiber optic,2,0
5,83.41,484.73,Month-to-month,Electronic check,DSL,2,1
29,60.36,1599.42,Month-to-month,Electronic check,Fiber optic,2,0
71,64.09,4426.96,Month-to-month,Credit card,Fiber optic,2,0
21,30.82,546.49,One year,Bank transfer,DSL,1,0
9,79.71,782.42,Month-to-month,Credit card,Fiber optic,0,1
35,26.0,1151.04,Month-to-month,Mailed check,DSL,1,0
